COLLECTION	NICKNAME	CONDITION
1156	20%TDH3	B
1177	0%TDH3	C
1188	85%TDH3	M
1189	MATACTL	TT
1200	50%TDH3	GG
2504	CYC8	X
2506	WWM1	N
2525	PRE7	Z
2682	URA3CTRL	BB
2690	NAR1	O
2728	TYE7	JJ
2794	SDS23	T
2798	CCC2	LL
2800	NAM7	HH
2911	ADE4	S
2919	ADE6	RR
3016	NONE	A
3059	135%TDH3	MM
3068	ADE5	J
3088	RIM8	D
3092	SSN2	NN
3161	FTR1	H
3191	ATP23	P
3198	MOD5	R
3202	FRA1	EE
3203	TRA1	AA
3228	CIA2	I
3241	CAF40	G
3245	HXK2	L
3247	BRE2	Y
3254	IRA2	E
3256	MRN1	U
3272	TUP1	II
3275	ADE2	OO
3282	GCR1162	PP
3283	GCR1281	DD
3284	GCR1037	KK
3285	GCR1339	V
3286	GCR1241	CC
3287	RAP1357	Q
3288	RAP154	QQ
3289	RAP1238	SS
3290	RAP1484	W
3291	TDH1del	F
3296	TDH2del	FF
3298	TDH2/3del	K
