Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	-0.002	0.013	0.012	0.017	0.021	0.015	0.016	0.012	0.01	0.014	0.018	0.009	0.015	0	0.017	0.022	0.012	0.015	0.016	0.012	0.012	0.024	0.017	0.012	0.021	0.013	0.015	0.023	0.029	0.015	0.012	0.013	-0.002	0.027	0.018	0.016	0.018	0.014	0.007	0.019	-0.002	0.012	0.02	0.008	0.012	0.018	0	0.012	0.021	0.017	0.013	-0.002	0.015	0.01	0.018	0.016	0.001	0.012	0.021	0.018	0.017	0.017	0.009	0.014	0.015	0.012	0.021	-0.002	0.01	0.028	0.022	0.016	0.013	0.013	0.014	0.029	-0.002	-0.001	0.003	-0.003	-0.002	-0.002	-0.002	0.012	0.015	0.013	0.012	0.016	0.021	0.013	0.017	0.018	0.009	0.012	0.011	0.017
2	-0.002	0.014	0.013	0.018	0.02	0.017	0.017	0.013	0.011	0.016	0.013	0.01	0.016	0	0.019	0.019	0.011	0.016	0.017	0.015	0.014	0.013	0.018	0.013	0.023	0.014	0.016	0.021	0.019	0.016	0.013	0.014	-0.002	0.021	0.018	0.019	0.019	0.015	0.009	0.02	-0.001	0.008	0.02	0.008	0.011	0.018	0.001	0.014	0.021	0.019	0.014	-0.001	0.016	0.01	0.019	0.016	0.002	0.013	0.021	0.019	0.017	0.018	0.012	0.014	0.016	0.014	0.019	-0.001	0.012	0.049	0.022	0.018	0.013	0.014	0.016	0.017	-0.001	-0.001	0.003	-0.002	0	-0.001	-0.002	0.014	0.016	0.014	0.014	0.017	0.021	0.013	0.018	0.018	0.009	0.013	0.012	0.016
3	0	0.02	0.017	0.026	0.028	0.023	0.022	0.018	0.017	0.022	0.018	0.015	0.023	0	0.027	0.023	0.016	0.023	0.023	0.022	0.02	0.069	0.024	0.017	0.032	0.019	0.022	0.027	0.046	0.023	0.016	0.018	0	0.023	0.021	0.025	0.027	0.02	0.012	0.025	0	0.018	0.026	0.011	0.013	0.024	0.002	0.019	0.03	0.023	0.02	0	0.022	0.016	0.027	0.022	0.003	0.017	0.027	0.023	0.023	0.023	0.016	0.015	0.022	0.02	0.025	0.001	0.014	0.041	0.027	0.022	0.019	0.019	0.022	0.023	0.001	0.003	0.006	0	0	0.001	0	0.019	0.021	0.02	0.018	0.023	0.027	0.019	0.025	0.024	0.012	0.018	0.017	0.019
4	0	0.028	0.025	0.037	0.039	0.035	0.032	0.026	0.024	0.032	0.026	0.021	0.033	0	0.039	0.032	0.024	0.034	0.033	0.036	0.03	0.115	0.034	0.025	0.043	0.027	0.03	0.036	0.06	0.03	0.019	0.026	0.001	0.014	0.023	0.037	0.039	0.029	0.016	0.036	0.001	0.162	0.039	0.017	0.017	0.035	0.003	0.029	0.04	0.027	0.026	0.001	0.035	0.024	0.04	0.028	0.005	0.023	0.036	0.032	0.035	0.032	0.024	0.017	0.033	0.031	0.036	0.001	0.018	0.04	0.038	0.031	0.028	0.028	0.035	0.037	0.001	0.001	0.006	0	0.002	0.001	0.001	0.026	0.03	0.028	0.026	0.033	0.036	0.028	0.035	0.029	0.018	0.027	0.023	0.029
5	0	0.043	0.039	0.056	0.058	0.055	0.046	0.04	0.037	0.047	0.038	0.03	0.05	0	0.06	0.05	0.035	0.046	0.05	0.058	0.038	0.077	0.051	0.038	0.063	0.038	0.042	0.053	0.075	0.046	0.026	0.036	0	0.06	0.026	0.053	0.058	0.042	0.022	0.054	0.001	0.292	0.057	0.026	0.021	0.053	0.003	0.045	0.061	0.041	0.039	0.001	0.054	0.038	0.059	0.045	0.008	0.033	0.052	0.046	0.052	0.046	0.037	0.017	0.048	0.045	0.047	0.001	0.022	0.088	0.057	0.046	0.039	0.042	0.057	0.073	0.001	0.001	0.006	0	0.002	0.001	0.001	0.038	0.048	0.041	0.039	0.049	0.054	0.043	0.055	0.042	0.027	0.041	0.036	0.042
6	0	0.072	0.062	0.086	0.096	0.086	0.077	0.065	0.061	0.076	0.06	0.049	0.078	0	0.098	0.082	0.051	0.069	0.083	0.098	0.049	0.066	0.077	0.061	0.101	0.059	0.06	0.083	0.115	0.075	0.034	0.057	0.001	0.046	0.03	0.084	0.091	0.068	0.034	0.085	0.001	0.31	0.101	0.041	0.029	0.08	0.003	0.069	0.092	0.062	0.06	0.001	0.088	0.063	0.1	0.066	0.011	0.052	0.085	0.077	0.084	0.073	0.058	0.019	0.079	0.075	0.072	0.001	0.027	0.099	0.086	0.071	0.066	0.066	0.093	0.088	0	0.001	0.006	0	0.002	0.001	0.001	0.059	0.076	0.065	0.064	0.081	0.087	0.071	0.085	0.067	0.043	0.067	0.06	0.065
7	0	0.114	0.098	0.137	0.158	0.138	0.127	0.109	0.097	0.121	0.096	0.078	0.127	0	0.154	0.135	0.085	0.108	0.134	0.171	0.064	0.172	0.123	0.098	0.157	0.094	0.091	0.133	0.167	0.12	0.047	0.09	0	0.054	0.032	0.135	0.147	0.109	0.051	0.145	0.001	0.301	0.155	0.066	0.041	0.125	0.003	0.112	0.145	0.103	0.095	0.001	0.136	0.103	0.165	0.109	0.018	0.084	0.142	0.126	0.138	0.121	0.092	0.021	0.128	0.126	0.118	0.001	0.034	0.154	0.14	0.117	0.111	0.109	0.154	0.14	0.001	0.004	0.006	0	0.002	0.001	0	0.096	0.124	0.108	0.104	0.132	0.14	0.119	0.136	0.11	0.07	0.113	0.098	0.101
8	-0.002	0.19	0.161	0.222	0.252	0.236	0.207	0.175	0.157	0.197	0.155	0.126	0.208	0	0.244	0.219	0.133	0.168	0.217	0.288	0.084	0.259	0.195	0.16	0.255	0.151	0.141	0.212	0.258	0.187	0.06	0.139	-0.002	0.09	0.034	0.218	0.236	0.187	0.076	0.224	-0.002	0.567	0.249	0.103	0.057	0.19	0	0.179	0.242	0.165	0.147	-0.002	0.207	0.163	0.267	0.184	0.025	0.134	0.212	0.203	0.226	0.194	0.14	0.021	0.205	0.216	0.19	-0.001	0.05	0.288	0.23	0.191	0.182	0.173	0.255	0.232	-0.001	0.002	0.004	-0.002	-0.001	-0.001	-0.002	0.155	0.204	0.178	0.168	0.217	0.225	0.193	0.222	0.179	0.118	0.185	0.161	0.16
9	0	0.317	0.272	0.352	0.401	0.376	0.337	0.291	0.262	0.323	0.26	0.212	0.335	0	0.385	0.359	0.208	0.263	0.356	0.476	0.119	0.441	0.317	0.272	0.404	0.25	0.23	0.34	0.394	0.306	0.088	0.232	0.001	0.141	0.042	0.358	0.38	0.299	0.116	0.361	0.001	0.702	0.406	0.17	0.088	0.294	0.003	0.287	0.384	0.276	0.244	0.001	0.307	0.276	0.418	0.293	0.043	0.224	0.336	0.328	0.366	0.318	0.219	0.028	0.335	0.349	0.295	0.001	0.073	0.379	0.367	0.309	0.304	0.284	0.409	0.36	0	0.002	0.006	0	0.002	0.001	0.001	0.261	0.333	0.298	0.276	0.342	0.362	0.317	0.357	0.295	0.198	0.305	0.271	0.272
10	0	0.504	0.437	0.546	0.609	0.564	0.557	0.49	0.426	0.498	0.416	0.337	0.519	0	0.583	0.555	0.341	0.397	0.542	0.717	0.154	0.989	0.489	0.424	0.604	0.397	0.361	0.527	0.585	0.46	0.122	0.365	0	0.241	0.05	0.56	0.573	0.484	0.183	0.562	0.001	0.708	0.622	0.25	0.131	0.447	0.003	0.46	0.581	0.442	0.379	0.001	0.438	0.418	0.599	0.459	0.072	0.368	0.499	0.52	0.561	0.501	0.273	0.034	0.518	0.568	0.469	0.001	0.115	0.582	0.553	0.493	0.476	0.441	0.627	0.537	0.001	0.003	0.004	0	0.002	0.001	0	0.412	0.513	0.472	0.45	0.542	0.577	0.503	0.556	0.468	0.329	0.483	0.433	0.427
