SampleID	Description	condition	batch
105201	1156	B	A
105202	1177	C	A
105203	3088	D	A
105204	3254	E	A
105205	3291	F	A
105206	3241	G	A
105207	3161	H	A
105208	3228	I	A
105209	3068	J	A
105210	3298	K	A
105211	3245	L	A
105212	30161	A	A
105213	30162	A	A
105214	1188	M	A
105215	2506	N	A
105216	2690	O	A
105217	30163	A	A
105218	3191	P	A
105219	3287	Q	A
105220	3198	R	A
105221	2911	S	A
105222	2794	T	A
105223	3256	U	A
105224	3285	V	A
105225	3290	W	A
105226	2504	X	A
105227	3247	Y	A
105228	2525	Z	A
105229	3203	AA	A
105230	2682	BB	A
105231	3286	CC	A
105232	3283	DD	A
105233	3202	EE	A
105234	3296	FF	A
105235	1200	GG	A
105236	2800	HH	A
105237	3272	II	A
105238	2728	JJ	A
105239	3284	KK	A
105240	2798	LL	B
105241	3059	MM	B
105242	3092	NN	B
105243	3275	OO	B
105244	3282	PP	B
105245	3288	QQ	B
105246	30164	A	B
114793	2798	LL	C
114794	2919	RR	C
114795	3092	NN	C
114796	2800	HH	C
114797	30161	A	C
114798	3287	Q	C
114799	1188	M	C
114800	2794	T	C
114802	3275	OO	C
114803	3298	K	C
114804	3285	V	C
114805	3291	F	C
114806	3068	J	C
114807	3245	L	C
114808	3286	CC	C
114809	1200	GG	C
114810	2504	X	C
114811	3241	G	C
114812	3203	AA	C
114813	3284	KK	C
114814	3247	Y	C
114817	3202	EE	C
114818	3191	P	C
114819	2911	S	C
114820	3228	I	C
114821	2506	N	C
114823	3256	U	C
114824	1177	C	C
114825	3059	MM	C
114826	3161	H	C
114827	3290	W	C
114828	2525	Z	C
114829	2728	JJ	C
114830	3088	D	C
114832	3198	R	C
114834	3296	FF	C
114835	1156	B	C
114836	3272	II	C
114837	30163	A	C
114801	3288	QQ	D
114815	3289	SS	D
114816	3254	E	D
114822	2682	BB	D
114831	30162	A	D
114833	3282	PP	D
114838	2690	O	D
114839	3283	DD	D
115078	3287	Q	E
115079	3202	EE	E
115080	30161	A	E
115081	2504	X	E
115082	3272	II	E
115083	1156	B	E
115084	3289	SS	E
115086	3203	AA	E
115087	2728	JJ	E
115089	3247	Y	E
115090	3285	V	E
115091	3241	G	E
115092	3228	I	E
115093	3059	MM	E
115094	2690	O	E
115095	3245	L	E
115096	1188	M	E
115097	3286	CC	E
115098	3284	KK	E
115100	3198	R	E
115101	1200	GG	E
115103	30162	A	E
115104	3191	P	E
115105	3275	OO	E
115106	3298	K	E
115107	3254	E	E
115109	3161	H	E
115110	3256	U	E
115111	3088	D	E
115113	3296	FF	E
115115	2911	S	E
115117	2506	N	E
115118	3283	DD	E
115119	3068	J	E
115085	3092	NN	F
115088	3282	PP	F
115099	2800	HH	F
115102	3291	F	F
115108	32872	Q	F
115112	2798	LL	F
115114	3288	QQ	F
115116	2919	RR	F
115120	30164	A	F
119986	3283	DD	G
119987	3247	Y	G
119988	3198	R	G
119989	3059	MM	G
119990	2800	HH	G
119991	2525	Z	G
119992	1156	B	G
119993	3290	W	G
119994	3284	KK	G
119995	3254	E	G
119996	3202	EE	G
119997	3068	J	G
119998	2911	S	G
119999	2682	BB	G
120000	1177	C	G
120001	3291	F	G
120002	3285	V	G
120003	3256	U	G
120004	3203	AA	G
120005	3088	D	G
120006	2919	RR	G
120007	2690	O	G
120008	1188	M	G
120009	3296	FF	G
120010	3286	CC	G
120011	3272	II	G
120012	3228	I	G
120014	30161	A	G
120015	2728	JJ	G
120016	1200	GG	G
120017	3298	K	G
120018	3287	Q	G
120019	3275	OO	G
120020	3241	G	G
120021	3161	H	G
120022	30162	A	G
120023	2794	T	G
120024	2504	X	G
120028	3245	L	G
120029	3191	P	G
120030	30163	A	G
120031	2798	LL	G
120032	2506	N	G
119981	30165	A	H
119982	11893	TT	H
119983	11892	TT	H
119984	11891	TT	H
119985	3298	K	I
120013	2504	X	I
120025	30164	A	I
120026	2800	HH	I
120027	3191	P	I
